"STATE JOB
NUMBER",TERMINI,"ARDOT
DISTRICT",COUNTY,ROUTE,FFY,TYPE OF WORK,LENGTH,"TOTAL
COST",NHPP,NHFP,HSIP,RAIL-HWY,EARMARK,STBGP,"STBGP
(BR OFF)","STBGP
(GT 200K)",BFP,"BFP
(BR OFF)",NEVFP,"CRP 
(FLEX)","CRP 
(GT 200K)",PROTECT,AC,REC. TRAILS,"CMAQ
(FLEX)","CMAQ
(AQ)",TAP,"TAP
(GT 200K)",CHBP,INFRA,RAISE,COVID,MATA,GAP,FLAP,FLTP,ERFO,"MARINE
FUEL TAX","FERRY
BOAT",DBE,OJT,CAP,"AMENDMENT
 101",STATE,ACT 416,"STATE-
LOCAL",LOCAL,"AGENCY
CARRYING
OUT THE
PROJECT",CARTS,JATS,NARTS,PBATS,TUTS,WMATS,FRONTIER,TRI-LAKES,COMMENTS
040904,Clear Creek Rd. – I-40 (Phase 1) (F),4,Crawford,I-49,2028,New Location,4.404," $146,000 "," $112,800 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $28,200 ",,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
040905,Hwy. 28 Strs. & Apprs. (Scott Co.) (S),4,Scott,28,2025,Strs. & Apprs.,0.000," $2,700 ", $432 ,,,,,,,," $1,728 ",,,,,,,,,,,,,,,,,,,,,,,,,,, $540 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
040906,Hwy. 248 Str. & Apprs. (Scott Co.) (S),4,Scott,248,2025,Str. & Apprs.,0.000, $800 , $128 ,,,,,,,, $512 ,,,,,,,,,,,,,,,,,,,,,,,,,,, $160 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
040907,Hwy. 270 Strs. & Apprs. (Scott Co.) (S),4,Scott,270,2026,Strs. & Apprs.,0.000," $1,200 ", $960 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $240 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
040908,Mill Creek Str. & Apprs. (S),4,Sebastian,96,2026,Str. & Apprs.,0.000," $1,100 ", $176 ,,,,,,,, $704 ,,,,,,,,,,,,,,,,,,,,,,,,,,, $220 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
040909,West Fork White River Str. & Apprs. (West Fork) (S),4,Washington,170,2026,Str. & Apprs.,0.000," $7,000 "," $1,120 ",,,,,,,," $4,480 ",,,,,,,,,,,,,,,,,,,,,,,,,,," $1,400 ",,,,State,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Partnering Project.  Department will include pedestrian accommodations on the new structure and City will assume ownership a segment of Hwy. 170
040924,Rock Creek Str. & Apprs. (S),4,Polk,8,2026,Str. & Apprs.,0.000," $2,000 ", $320 ,,,,,,,," $1,280 ",,,,,,,,,,,,,,,,,,,,,,,,,,, $400 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
040994,Frog Bayou Str. & Apprs. (S),4,Crawford,282,2025,Str. & Apprs.,0.000, $700 ,,,,,,,,,, $560 ,,,,,,,,,,,,,,,,,,,,,,,,,, $140 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
050418,Cache River Relief Str. & Apprs. (S),5,Jackson,37,2025,Str. & Apprs.,0.000," $5,000 "," $4,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $1,000 ",,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
050419,Pine Hill Creek Str. & Apprs. (S),5,Fulton,395,2025,Str. & Apprs.,0.000," $2,100 ", $336 ,,,,,,,," $1,344 ",,,,,,,,,,,,,,,,,,,,,,,,,,, $420 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
050420,Hwy. 394 – Moorefield (S),5,Independence,69,2025,Major Widening,1.633," $4,600 ",,,, $996 ,," $2,684 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $920 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
050439,Hwy. 25 Str. & Apprs. (Independence Co.) (S),5,Independence,25,2026,Str. & Apprs.,0.000," $5,600 "," $4,480 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $1,120 ",,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
050447,Calico Creek Str. & Apprs. (Calico Rock) (S),5,Izard,56,2026,Str. & Apprs.,0.000," $3,300 ", $528 ,,,,,,,," $2,112 ",,,,,,,,,,,,,,,,,,,,,,,,,,, $660 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
050451,Village Creek Str. & Apprs. (S),5,Jackson,17,2026,Str. & Apprs.,0.000," $8,200 "," $1,952 ",,,,,,,," $4,608 ",,,,,,,,,,,,,,,,,,,,,,,,,,," $1,640 ",,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
050453,Martins Creek Str. & Apprs. (S),5,Sharp,63,2026,Str. & Apprs.,0.000," $4,400 ", $704 ,,,,,,,," $2,816 ",,,,,,,,,,,,,,,,,,,,,,,,,,, $880 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
050474,Sulphur Springs Creek Str. & Apprs. (Sulphur Rock) (S),5,Independence,233,2026,Str. & Apprs.,0.000, $900 , $144 ,,,,,,,, $576 ,,,,,,,,,,,,,,,,,,,,,,,,,,, $180 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
050476,Hwy. 37 Strs. & Apprs. (S),5,Jackson,37,2025,Strs. & Apprs.,0.000," $1,500 "," $1,200 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $300 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
050477,UPRR Str. & Apprs. (Bald Knob) (S),5,White,64,2026,Str. & Apprs.,0.000," $7,600 "," $1,216 ",,,,,,,," $4,864 ",,,,,,,,,,,,,,,,,,,,,,,,,,," $1,520 ",,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
050520,Baxter Co. Line – Hwy. 87 (Passing Lane) (S),5,Fulton,62,2027,Passing Lane,1.213," $10,000 "," $5,500 ",,,," $2,500 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $2,000 ",,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
060906,Hwy. 89 – Greystone Blvd. (Cabot) (S),6,Lonoke,5,2027,Major Widening,2.047," $23,100 ", $-   ,,,,," $18,480 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $4,620 ",,,,State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
061344,UPRR Str. & Apprs. (Perla) (S),6,Hot Spring,67,2025,Str. & Apprs.,0.000," $3,300 ", $528 ,,,,,,,," $2,112 ",,,,,,,,,,,,,,,,,,,,,,,,,,, $660 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
061371,Hwys. 67/5 Intchng. Impvts. (Cabot) (F),6,Lonoke,67,2025,Interchange Improvements,0.000," $52,500 "," $10,500 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $42,000 ",,,,State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
061382,Taylor Loop Rd. – Pleasant Ridge Rd. (S),6,Pulaski,10,2028,Major Widening,2.310," $22,000 "," $17,600 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $4,400 ",,,,State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
061454,Gill St. & RR Overpass Strs. & Apprs. (Little Rock) (F),6,Pulaski,10,2026,Strs. & Apprs.,0.000," $16,800 "," $13,325 ",,,, $144 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $3,331 ",,,,State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
061510,Hwy. 70/University Ave. Inters. Impvts. (S),6,Pulaski,70,2025,Intersection Improvements,0.000, $900 , $120 ,,,,,,, $600 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $180 ,State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Partnering project.  Department has obligated $168K of the committed $600K from the 2016-2020 STIP.  Additional funds to be provided by the City and Metroplan.
061608,Hwy. 192 Strs. & Apprs. (Garland Co.) (S),6,Garland,192,2026,Strs. & Apprs.,0.000," $2,800 ", $448 ,,,,,,,," $1,792 ",,,,,,,,,,,,,,,,,,,,,,,,,,, $560 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,
061611,I-30 Strs. & Apprs. (Hwy. 270) (Malvern) (S),6,Hot Spring,270,2026,Interchange Improvements and Strs. & Apprs.,0.000," $50,000 "," $40,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $10,000 ",,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
061632,Hwy. 183 – Pulaski Co. Line (Widening) (Bryant) (S),6,Saline,5,2026,Major Widening,3.212," $33,000 ",,,,,," $1,400 ",,,,,,,,,,,,,,,,," $25,000 ",,,,,,,,,,,,," $6,600 ",,,,State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Renew Arkansas Highways Project.
061645,Hwy. 270 Intchng. Impvts. (Albert Pike Rd.) (Hot Springs) (S),6,Garland,270,2028,Interchange Improvements,0.000, $100 , $80 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $20 ,,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Funding amount shown for project development.
061676,Colonel Maynard Rd. – I-440 (NLR) (S),6,Pulaski,165,2027,Major Widening,3.115," $25,500 "," $5,100 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $20,400 ",,,,State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Renew Arkansas Highways Project.
061677,I-440 – Kerr Rd. (S),6,Lonoke & Pulaski,I-40,2028,Major Widening,6.790," $75,000 "," $15,077 ",,,,,,,,,,,,,,,," $13,777 ",,,,,,,,,,,,,,,,,,," $46,146 ",,,,State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
061708,I-30 Ramp & Frontage Rd. Impvts. (Benton) (S),6,Saline,I-30,2025,Interchange Improvements,0.000," $13,200 "," $8,160 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $2,040 ",,," $3,000 ",State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Partnering Project. City to contribute $3.0M over 5 years towards the project and has taken ownership of Highway 88, Section 7."
061737,Ouachita River – Fleetwood Dr. (Widening) (S),6,Garland,270,2027,Major Widening,1.727," $25,000 ",,,,," $11,414 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $13,586 ",,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,
061738,General Samuels Rd. – Arnold Dr. (Sherwood) (S),6,Pulaski,107,2025,Major Widening,1.195," $12,500 "," $10,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $2,500 ",,,,State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
061739,White Oak Branch Str. & Apprs. (S),6,Lonoke,381,2026,Str. & Apprs.,0.000, $600 , $480 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $120 ,,,,State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
061744,Oak Creek Str. & Apprs. (S),6,Prairie,86,2025,Str. & Apprs.,0.000, $600 , $480 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $120 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
061745,Crooked Creek Str. & Apprs. (S),6,Lonoke,13,2025,Str. & Apprs.,0.000," $2,000 "," $1,600 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $400 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
061746,South Branch La Grue Bayou Str. & Apprs. (S),6,Prairie,86,2026,Str. & Apprs.,0.000, $600 , $108 ,,,,,,,, $372 ,,,,,,,,,,,,,,,,,,,,,,,,,,, $120 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
061747,Hwy. 176 – Hwy. 67 (Sherwood) (S),6,Pulaski,176Y,2026,Minor Widening,0.397," $10,000 ",,,,,," $8,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $2,000 ",State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Partnering Project.  City to provide $2.0M and assume ownership of Highway 176Y.
061748,Mill Creek Str. & Apprs. (S),6,Garland,600,2025,Str. & Apprs.,0.000, $600 ,,,,,,,,,, $480 ,,,,,,,,,,,,,,,,,,,,,,,,,, $120 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
061755,Vineyard St. – Central Ave. (Hwy. 88) (Hot Springs) (S),6,Garland,88,2027,Major Widening,0.159, $500 ,,,,, $392 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $108 ,Local,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Partnering Project. Department provides $391,945 of Federal-aid earmark funds. City of Hot Springs handles all phases and remaining project cost."
061759,Kerr Rd. – Hwy. 31 (S),6,Lonoke,I-40,2025,Major Widening,9.841, $500 , $400 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $100 ,,,,State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Renew Arkansas Highways Project. Funding amount shown for project development.
061764,Hwy. 70 Str. & Apprs. (Little Rock) (S),6,Pulaski,70,2026,Str. & Apprs.,0.000, $400 , $320 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $80 ,,,,State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
061765,Hwy. 365 Strs. & Apprs. (Pulaski Co.) (S),6,Pulaski,365,2026,Strs. & Apprs.,0.000," $1,600 ", $256 ,,,,,,,," $1,024 ",,,,,,,,,,,,,,,,,,,,,,,,,,, $320 ,,,,State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
061767,I-40 – Marche Rd. (S),6,Pulaski,365,2027,Major Widening,0.862," $3,900 ",,,,,, $780 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $3,120 ",,,,State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Potential partnering project with Pulaski County. County to assume ownership of various highway segments
061768,Hwy. 100/Counts Massie Rd. Inters. Impvts. (NLR) (S),6,Pulaski,100,2025,Intersection Improvements,0.000," $2,900 "," $1,920 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $480 ,,, $500 ,State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Potential Partnering Project.  Local commitment TBD.
061823,I-30/I-40 Intchng. Impvts. (NLR) (S),6,Pulaski,I-40,2026,Interchange Improvements,0.000," $75,000 "," $28,322 "," $18,447 ",,,,,,,,,,,,,,," $13,231 ",,,,,,,,,,,,,,,,,,," $15,000 ",,,,State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Renew Arkansas Highways Project.
061831,Hwy. 270 Intchng. Impvts. (Airport Rd.) (Hot Springs) (S),6,Garland,270,2028,Interchange Improvements,0.000," $30,000 "," $24,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $6,000 ",,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,
061832,Hwy. 270 Intchng. Impvts. (Higdon Ferry Rd.) (Hot Springs) (S),6,Garland,270,2028,Interchange Improvements,0.000, $100 , $80 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $20 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Funding amount shown for project development.
061833,Hwy. 270 Intchng. Impvts. (Central Ave.) (Hot Springs) (S),6,Garland,270,2028,Interchange Improvements,0.000, $100 , $80 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $20 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Funding amount shown for project development.
061856,Hwys. 63/70 Y-Inters. Safety Impvts. (Prairie Co.) (S),6,Prairie,63 & 70,2027,Intersection Improvements,0.000, $500 ,,, $450 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $50 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
061859,Hwys. 67/89 Intchng. Impvts. (Cabot) (S),6,Lonoke,67,2025,Interchange Improvements,0.000," $52,500 "," $10,500 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $42,000 ",,,,State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
061861,I-30 Bridge Deck Rehab. (Little Rock) (S),6,Pulaski,I-30,2027,System Preservation,0.000," $62,000 "," $47,760 ",,,,,,,," $1,840 ",,,,,,,,,,,,,,,,,,,,,,,,,,," $12,400 ",,,,State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
070367,Hwy. 82B Improvements (El Dorado) (S),7,Union,82B,2028,Major Widening,3.887," $24,200 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $24,200 ",,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Partnering project. City to assume ownership of Highway 82B upon completion of this project.
070424,Hwy. 82B – Hwy. 167 (El Dorado) (S),7,Union,167B,2026,Pedestrian & Drainage Improvements,3.828," $4,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $4,000 ",,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Partnering project. City to assume ownership of Highway 167B upon completion of this project.
070439,26th St. – Hwy. 67 (Pine St.) (Arkadelphia) (S),7,Clark,51,2025,Major Widening,1.377," $4,800 ",,,,,," $3,840 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $960 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Partnering project.  City to assume ownership of Highway 51 upon completion of this project and the Arkadelphia Bypass (Job 070442).
070458,UPRR Grade Separation (East of Lafayette Co. Line) (S),7,Columbia,82,2026,Str. & Apprs.,0.000," $26,300 "," $5,260 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $21,040 ",,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
070508,Freeo Creek & Relief Strs. & Apprs. (S),7,Ouachita,7,2025,Strs. & Apprs.,0.000," $9,600 "," $7,680 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $1,920 ",,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
070509,Caddo River Str. & Apprs. (Caddo Valley) (S),7,Clark,67,2025,Str. & Apprs.,0.000," $11,400 "," $1,724 ",,,,,,,," $6,896 ",,,,,,,,,, $500 ,,,,,,,,,,,,,,,,," $2,155 ",,, $125 ,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Partnering project.  The County will be responsible for costs of shared use path on bridge and along the highway.
070512,Moro Creek & Relief Strs. & Apprs. (S),7,Calhoun & Cleveland,8,2026,Strs. & Apprs.,0.000," $17,200 "," $13,760 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $3,440 ",,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
070526,Hwy. 35 Str. & Apprs. (Cleveland Co.) (S),7,Cleveland,35,2026,Str. & Apprs.,0.000," $1,500 ", $240 ,,,,,,,, $960 ,,,,,,,,,,,,,,,,,,,,,,,,,,, $300 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
070527,CRI&P Railroad Bridge Removal (S),7,Dallas,273,2026,Str. & Apprs.,0.000, $500 , $400 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $100 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
070570,Hwy. 98 – Co. Rd. 27 (Widening) (S),7,Columbia,82,2027,Major Widening,3.513," $25,000 "," $5,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $20,000 ",,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
070572,Hwy. 274 Strs. & Apprs. (S),7,Calhoun,274,2027,Strs. & Apprs.,0.000," $9,900 "," $1,584 ",,,,,,,," $6,336 ",,,,,,,,,,,,,,,,,,,,,,,,,,," $1,980 ",,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
070573,I-30 Str. & Apprs. (Hwy. 53) (S),7,Clark,53,2025,Str. & Apprs.,0.000," $4,000 ", $640 ,,,,,,,," $2,560 ",,,,,,,,,,,,,,,,,,,,,,,,,,, $800 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
070592,Hwys. 9/128 Y-Inters. Safety Impvts. (Dallas Co.) (S),7,Dallas,9,2027,Intersection Improvements,0.000, $500 ,,, $450 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $50 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
080364,Hwy. 64 – Bruce St. (Conway) (S),8,Faulkner,65B,2025,Major Widening,0.752," $4,000 "," $2,560 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $640 ,,, $800 ,State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Partnering project. City to contribute $7.0M toward project costs for Jobs 080619 & 080364.
080493,Thomas G. Wilson Dr. – East German Ln. (Conway) (S),8,Faulkner,286,2025,Major Widening,0.440," $8,000 ",,,,,," $6,400 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $1,600 ",State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Partnering Project. City may contribute 20% towards the construction costs.
080606,Hwy. 7 Inters. & Drainage Impvts. (Russellville) (S),8,Pope,7,2025,Intersection & Drainage Improvements,0.000," $3,500 "," $2,800 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $700 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Partnering project. City of Russellville to design, fund utility relocation, ROW and assume ownership of a portion of Highway 326.  Arkansas Tech University to provide ROW within the University."
080607,Creek at L.M. 0.676 Str. & Apprs. (S),8,Perry,314,2026,Str. & Apprs.,0.000," $1,100 ", $880 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $220 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
080608,Lake Dardanelle Str. & Apprs. (London) (S),8,Pope,333,2026,Str. & Apprs.,0.000, $600 , $480 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $120 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
080615,Petit Jean River Str. & Apprs. (S),8,Yell,154,2026,Str. & Apprs.,0.000," $12,300 "," $2,460 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $9,840 ",,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
080618,Bayou Choate George Str. & Apprs. (S),8,Yell,154,2026,Str. & Apprs.,0.000," $1,100 ", $880 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $220 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
080619,Hwy. 60 – I-40 Inters. Impvts. (Conway) (F),8,Faulkner,65B,2026,Intersection Improvements,0.000," $15,000 "," $7,040 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $1,760 ",,," $6,200 ",State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Partnering project. City to contribute $7.0M toward project costs for Jobs 080619 & 080364.
080621,McCoy & Little Creeks Strs. & Apprs. (S),8,Pope,27,2026,Strs. & Apprs.,0.000," $2,600 "," $2,080 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $520 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
080633,Hwy. 65B/Robins St. Signal (Conway) (S),8,Faulkner,65B,2025,Intersection Improvements,0.000," $2,500 ",,,,,, $350 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $50 ," $2,100 ",State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
080645,Hwy. 124 Strs. & Apprs. (Conway Co.) (S),8,Conway,124,2025,Strs. & Apprs.,0.000," $1,100 ", $176 ,,,,,,,, $704 ,,,,,,,,,,,,,,,,,,,,,,,,,,, $220 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
080658,Hwy. 310 Str. & Apprs. (Enola) (S),8,Faulkner,310,2026,Str. & Apprs.,0.000, $800 , $128 ,,,,,,,, $512 ,,,,,,,,,,,,,,,,,,,,,,,,,,, $160 ,,,,State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
080667,Hwys. 25/285 Inters. Impvts. (Wooster) (S),8,Faulkner,25 & 285,2027,Intersection Improvements,0.000," $3,750 ",,,,,," $3,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $750 ,Local,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Potential Partnering Project. City, County, & Metroplan will handle design and provide up to $750,000 of ROW and construction cost."
080674,Dennard – Hwy. 110 (Widening) (S),8,Van Buren,65,2028,Major Widening,4.366, $500 , $400 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $100 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Funding amount shown for project development.
080675,Hwys. 7/22/27 Inters. Impvts. (Dardanelle) (S),8,Yell,7,2026,Intersection Improvements & Pavement Preservation,0.572," $8,200 "," $6,560 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $1,640 ",,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
080676,Arkansas River – West (Drainage Impvts.) (S),8,Perry,60,2026,Drainage Improvements,0.746," $25,700 ",,,,," $6,414 ",,,,,,,,," $14,146 ",,,,,,,,,,,,,,,,,,,,,," $5,140 ",,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
